Date,Open,High,Low,Close,Adj Close,Volume
05-04-2021,403.459991,406.940002,403.380005,406.359985,395.90506,91684800
06-04-2021,405.76001,407.23999,405.399994,406.119995,395.671204,62021000
07-04-2021,405.940002,406.959991,405.450012,406.589996,396.12915,55836300
08-04-2021,407.929993,408.579987,406.929993,408.519989,398.009491,57863100
09-04-2021,408.390015,411.670013,408.26001,411.48999,400.903015,61104600
12-04-2021,410.850006,411.929993,410.200012,411.640015,401.049194,56704900
13-04-2021,411.529999,413.529999,411.119995,412.859985,402.237854,56551000
14-04-2021,412.829987,413.959991,410.869995,411.450012,400.864136,61659900
15-04-2021,413.73999,416.160004,413.690002,415.869995,405.17038,60229800
16-04-2021,417.25,417.910004,415.730011,417.26001,406.524628,82037300
19-04-2021,416.26001,416.73999,413.790009,415.209991,404.527344,78498500
20-04-2021,413.910004,415.089996,410.589996,412.170013,401.565552,81851800
21-04-2021,411.51001,416.290009,411.359985,416.070007,405.365295,66793000
22-04-2021,415.890015,416.779999,411.130005,412.269989,401.662994,97582800
23-04-2021,412.869995,418.25,412.790009,416.73999,406.018005,73209200
26-04-2021,417.440002,418.220001,416.809998,417.609985,406.865601,52182400
27-04-2021,417.929993,418.140015,416.299988,417.519989,406.777924,51303100
28-04-2021,417.809998,419.01001,416.899994,417.399994,406.661011,51238900
29-04-2021,420.320007,420.720001,416.440002,420.059998,409.252594,78544300
30-04-2021,417.630005,418.540009,416.339996,417.299988,406.563599,85527000
03-05-2021,419.429993,419.839996,417.670013,418.200012,407.44046,68128300
04-05-2021,416.070007,416.600006,411.670013,415.619995,404.926849,101591200
05-05-2021,417.380005,417.630005,415.149994,415.75,405.053497,60162200
06-05-2021,415.829987,419.209991,413.679993,419.070007,408.288055,74321400
07-05-2021,419.890015,422.820007,419.160004,422.119995,411.259613,67733800
10-05-2021,422.5,422.73999,417.809998,417.940002,407.187134,81852400
11-05-2021,413.100006,415.269989,410.059998,414.209991,403.553101,116888000
12-05-2021,411.230011,412.589996,404,405.410004,394.979553,134811000
13-05-2021,407.070007,412.350006,407.019989,410.279999,399.724213,106394000
14-05-2021,413.209991,417.48999,413.179993,416.579987,405.862122,82201600
17-05-2021,415.390015,416.390015,413.359985,415.519989,404.829376,65129200
18-05-2021,415.799988,416.059998,411.769989,411.940002,401.341492,59810200
19-05-2021,406.920013,411.049988,405.329987,410.859985,400.289307,106467100
20-05-2021,411.799988,416.630005,411.670013,415.279999,404.595581,78022200
21-05-2021,416.869995,418.200012,414.450012,414.940002,404.264343,76578700
24-05-2021,417.339996,420.320007,417.079987,419.170013,408.385529,51376700
25-05-2021,420.329987,420.709991,417.619995,418.23999,407.479431,57451400
26-05-2021,418.869995,419.609985,417.76001,419.070007,408.288055,43088600
27-05-2021,420.170013,420.720001,418.98999,419.290009,408.502411,56707700
28-05-2021,420.970001,421.25,419.790009,420.040009,409.233124,58520200
01-06-2021,422.570007,422.720001,419.200012,419.670013,408.87262,54216600
02-06-2021,420.369995,421.230011,419.290009,420.329987,409.515656,49097100
03-06-2021,417.850006,419.98999,416.279999,418.769989,407.995789,58138800
04-06-2021,420.75,422.920013,418.839996,422.600006,411.727264,55938800
07-06-2021,422.589996,422.779999,421.190002,422.190002,411.32782,51555000
08-06-2021,423.109985,423.209991,420.320007,422.279999,411.415466,47134300
09-06-2021,423.179993,423.26001,421.410004,421.649994,410.801697,48436300
10-06-2021,422.959991,424.630005,421.549988,423.609985,412.711273,51020100
